#jānapada vastukośa, a dictionary of objects used in rural Karnataka. Data as scraped from Bharatavani.in

ರೋಣಗಲ್ಲು/ರೋಲ್‌ಗುಂಡು,"ಕಣದಲ್ಲಿ ಒಕ್ಕಣೆ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ಬಳಸುವ ಒಂದು ಬಹುಮುಖ್ಯ ಪರಿಕರ. ಸುಮಾರು ಮೂರು ಅಡಿ ಉದ್ದ ಐದಡಿ ಸುತ್ತಳತೆ ಇರುತ್ತದೆ. ರೋಣುಗಲ್ಲಿನ ಎರಡು ತುದಿಗಳ ಮಧ್ಯ ಭಾಗದಲ್ಲಿ ಸುಮಾರು ಮೂರು ಇಂಚು ಸುತ್ತಳತೆಯ ರಂಧ್ರಗಳಿರುತ್ತದೆ. ಈ ರಂಧ್ರಗಳಿಗೆ ಕಬ್ಬಿಣದ/ಮರದ ಒಂದೊಂದು ಗೂಟವನ್ನು ಸೇರಿಸಿರುತ್ತಾರೆ. ಮರದ ಎರಡು ದಿಂಡುಗಳನ್ನು ಎತ್ತಿನ ನೊಗಕ್ಕೆ ಕಟ್ಟಿ ರೋಣುಗಲ್ಲಿನ ಗೂಟಗಳಿಗೆ ಕಟ್ಟುತ್ತಾರೆ. ಕಣದಲ್ಲಿ ರಾಗಿ, ಜೋಳ ಮುಂತಾದ ತೆನೆಗಳನ್ನು ಹಾಕಿ, ಅದರ ಮೇಲೆ ರೋಣುಗಲ್ಲನ್ನು ಉರುಳಿಸುತ್ತಾರೆ. ವಿಭಿನ್ನ ಗಾತ್ರದ ರೋಣುಗಲ್ಲುಗಳು ಬಳಕೆಯಲ್ಲಿವೆ. ಇತ್ತೀಚೆಗೆ ಯಂತ್ರಗಳಿಂದ ಒಕ್ಕಣೆ ಮಾಡುವುದರಿಂದ ಈ ರೋಣುಗಲ್ಲುಗಳು ಕಣ್ಮರೆಯಾಗುತ್ತಿವೆ. ಈ ಸಾಧನವನ್ನು ಬಿಳಿ ಮತ್ತು ಕಪ್ಪುಕಲ್ಲಿನಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಭತ್ತಒಕ್ಕಣೆ ಹಾಗೂ ರಾಗಿಒಕ್ಕಣೆ ಮಾಡುವ ರೋಣಗಲ್ಲುಗಳ ವಿನ್ಯಾಸ ಹಾಗೂ ಆಕರಗಳು ಬೇರೆ ಬೇರೆ ಯಾಗಿರುತ್ತವೆ."
ಲಕ್ಷ್ಮೀಕೊಡ,"ಹಟ್ಟಿ ಹಬ್ಬದ (ದೀಪಾವಳಿ) ಸಂದರ್ಭದಲ್ಲಿ ಪೂಜೆಗೊಳ್ಳುವ ಒಂದು ಸಾಧನ. ಇದು ಲಕ್ಕಮ್ಮ(ಲಕ್ಷ್ಮೀ)ನ ಸಂಕೇತವಾಗಿ ಜನಪದರಿಂದ ಆರಾಧನೆಗೊಳ್ಳುತ್ತದೆ. ಈ ಕೊಡದ ಮೇಲೆ ತೆಂಗಿನಕಾಯಿ, ಕುಪ್ಪಸದ ಕಣ, ತಾಳಿ, ಮುತ್ತಿನ ಸರ ಇತ್ಯಾದಿಗಳನ್ನು ಇರಿಸಲಾಗುತ್ತದೆ. ಹಟ್ಟಿ ಹಬ್ಬವನ್ನು ಜನಪದರು ಮುಂಜಾನೆ/ಹಗಲು/ಸಾಯಂಕಾಲ ಹೊತ್ತಿಗೆ ಮಾಡಬಹುದಾದರೂ ಲಕ್ಷ್ಮೀಕೊಡವಂತೂ ಅನಿವಾರ್‍ಯವಾಗಿರುತ್ತದೆ. ಲಕ್ಕಮ್ಮ ದೇವತೆ ಸಮೃದ್ಧಿಯನ್ನು ಸಂಕೇತಿಸುತ್ತಾಳೆ. ಕೊಡನ್ನು ಆವೆ ಮಣ್ಣಿನಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಕೊಡಕ್ಕೆ ಸಾಮಾನ್ಯವಾಗಿ ನಾಗನ ಹೆಡೆಗಳ ಚಿತ್ರಗಳಿಂದ ಅಲಂಕರಿಸುತ್ತಾರೆ. ಈ ಕೊಡವನ್ನು ಜೋಪಾನವಾಗಿ ತೆಗೆದಿರಿಸಿ ಮುಂದಿನ ವರ್ಷವೂ ಬಳಸಿಕೊಳ್ಳುತ್ತಾರೆ."
ಲಗಾಮು,ಕುದುರೆಗಳನ್ನು ನಿಯಂತ್ರಿಸಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಆರರಿಂದ ಏಳು ಅಡಿ ಉದ್ದವಿದ್ದು ಸುಮಾರು ಅರ್ಧದ ಬಳಿಕ ಎರಡಾಗಿ ವಿಭಾಗಗೊಂಡು ತುದಿಯಲ್ಲಿ ಪರಸ್ಪರ ಸಿಕ್ಕಿಸಿರುವ ಎರಡು ಕಬ್ಬಿಣದ ಪುಟ್ಟದಿಂಡುಗಳನ್ನು ಹೊಂದಿರುತ್ತದೆ. ಈ ಕಬ್ಬಿಣದ ರಚನೆಗಳು ಸುಮಾರು ಎರಡು ಇಂಚು ಉದ್ದವಿರುತ್ತವೆ. ಇವುಗಳ ಇನ್ನೆರಡು ತುದಿಗೆ ಸುಮಾರು ಎರಡು ಇಂಚು ವ್ಯಾಸದ ಉಂಗುರ(ರಿಂಗ್)ಗಳನ್ನು ಜೋಡಿಸಿರುತ್ತಾರೆ. ಕಬ್ಬಿಣದ ಕಿರುದಿಂಡುಗಳು ಕುದುರೆಯ ಬಾಯೊಳಗೆ ಹೋಗಿರುತ್ತವೆ. ಲಗಾಮಿನ ಹಗ್ಗಗಳನ್ನು ಚರ್ಮದ ಮಿಣಿಗಳಿಂದಲೂ ನೂಲನ್ನು ಚೆನ್ನಾಗಿ ಹೆಣೆದ ಹಗ್ಗಗಳಿಂದಲೂ ರಚಿಸುತ್ತಾರೆ. ಬಾಯೊಳಗೆ ಸಲಕರಣೆ ಅಳವಡಿಸಿ ಪ್ರಾಣಿಗಳನ್ನು ನಿಯಂತ್ರಿಸಲು ಬಳಸುವ ಏಕೈಕೆ ಸಾಧನ ಲಗಾಮು ಮಾತ್ರ.
ಲಾಟೀನು/ಲಾಟಾಣ,"ಬೆಳಕಿಗಾಗಿ ಬಳಸುವ ಸಾಧನ. ದೀಪ ಹೊತ್ತಿಸಿದ ನಂತರ ಗಾಳಿಗೆ ನಂದಿಹೋಗದಂತೆ(ಆರಿ ಹೋಗದಂತೆ) ಗಾಜಿನ ಬುರುಡೆಯನ್ನು ಅಳವಡಿಸಲಾಗುತ್ತದೆ. ಇದರ ಬತ್ತಿಯನ್ನು ಎತ್ತುವುದಕ್ಕೆ ಮತ್ತು ಇಳಿಸುವುದಕ್ಕೆ ವ್ಯವಸ್ಥೆ ಇರುತ್ತದೆ. ಸೀಮೆಎಣ್ಣಿ ಹಾಕಲು ಬುಡದಲ್ಲಿ ನಳಿಕೆಯ ವ್ಯವಸ್ಥೆ ಇರುತ್ತದೆ. ಎತ್ತಿಕೊಂಡು ಒಯ್ಯಲು ಮೇಲ್ಭಾಗದಲ್ಲಿ ಹಿಡಿಕೆಯ ವ್ಯವಸ್ಥೆ ಇದೆ. ಕಬ್ಬಿಣದ ತೆಳು ತಗಡಿನಿಂದ ಲಾಟೀನುಗಳನ್ನು ತಯಾರಿಸುತ್ತಾರೆ. ಸೀಮೆ ಎಣ್ಣೆ ಮತ್ತು ಬತ್ತಿಗಳಿಂದ ಉರಿಯುತ್ತದೆ ಲಾಟಾನುಗಳನ್ನು ಮನೆ, ಕಾವಲು ಚಪ್ಪರ, ಎತ್ತಿನಗಾಡಿಗಳ ರಾತ್ರಿ ಪಯಣಗಳಿಗೆ ಬಳಸುತ್ತಿದ್ದರು."
ವರ್ಜಿಮಿಣಿ,"ಬಂಡಿಯಲ್ಲಿ ಹಾಕಿದ/ಹೇರಿದ ಹೇರುಗಳನ್ನು ಬಿಗಿಯಾಗಿ ಬಂಧಿಸಲು ಬಳಸುವ ಚರ್ಮದ ಹಗ್ಗ. ಇದು ಸುಮಾರು ಮೂವತ್ತು ಅಡಿ ಉದ್ದ ಇರುತ್ತದ. ಸುಮಾರು ಎರಡು ಇಂಚು ದಪ್ಪವಿರುತ್ತದೆ. ಎತ್ತಿನಗಾಡಿಯಲ್ಲಿ ಹುಲ್ಲು, ಸೊಪ್ಪೆ(ಜೋಳದ ದಂಟು), ಸೌದೆ, ದವಸ ಧಾನ್ಯಗಳ ಮೂಟೆಗಳನ್ನು ಹೇರಿಕೊಂಡು ಹೋಗುವಾಗ ಅವು ಕೆಳಗೆ ಬೀಳದಂತೆ ಬಿಗಿಯಾಗಿ ಕಟ್ಟಲು ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಅಲ್ಲದೆ ಹೊನ್ನತ್ತೆಮ್ಮ ದೇವಿಯ ಬಂಡಿಯನ್ನು ಹೂಡುವಾಗ ಕೂಡ ಈ ಹಗ್ಗ ಬಳಕೆಯಾಗುತ್ತದೆ. ಹಿಂದೆ ಸ್ವರಾಜ್ಯ ಬಾವುಟ ಹಾರಿಸಲು ಚಕ್ಕಡಿ ಬಂಡಿಗೆ ಆನೆಯನ್ನು ಕಟ್ಟಿಕೊಂಡು ಹೋಗುವಾಗ ಕೂಡ ಇಂಥ ಮಿಣಿ ಬಳಕೆಯಾಗಿತ್ತೆಂದು ತಿಳಿದುಬರುತ್ತದೆ. ಇದನ್ನು ಎಮ್ಮೆ ಚರ್ಮದಿಂದ(ಮಾದಾರರು) ತಯಾರಿಸುತ್ತಾರೆ. ಇದು ಹೆಚ್ಚು ಬಾಳಿಕೆ ಬರುವಂತೆ ಇರಿಸಿಕೊಳ್ಳಲು ಔಡಲ ಎಣ್ಣಿಯನ್ನು ಲೇಪಿಸುತ್ತಾರೆ."
ವಾಡೆ/ವಾಡೇವು,"ದವಸ ಧಾನ್ಯಗಳನ್ನು ಸಂಗ್ರಹಿಸಿಡಲು ಬಳಸುವ ಬೃಹತ್ ಮಡಿಕೆಗಳು. ಬಿತ್ತನೆ ಬೀಜಗಳನ್ನು ಸಂಗ್ರಹಿಸಿಡಲು ಕೂಡ ಇವನ್ನು ಬಳಸುತ್ತಾರೆ. ಇವು ಶಂಖಾಕೃತಿಯಲ್ಲಿರುತ್ತವೆ, ಸೋರೆ ಬರುಡೆಯ ಆಕಾರದಲ್ಲೂ ಕೆಲವು ವಾಡೇವುಗಳು ಇರುತ್ತವೆ. ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿಯಿಂದ ಸುಮಾರು ಆರು ಅಡಿಗಳ ಎತ್ತರಕ್ಕೆ ವಾಡೆಗಳನ್ನು ನಿರ್ಮಿಸುತ್ತಾರೆ. ಇವುಗಳ ಬಾಯಿಯು ಸುಮಾರು ಆರರಿಂದ ಹತ್ತು ಇಂಚುಗಳ ತನಕ ವ್ಯಾಸವುಳ್ಳದ್ದಾಗಿರುತ್ತದೆ. ಮಧ್ಯಭಾಗದಲ್ಲಿ ಸುಮಾರು ನಾಲ್ಕರಿಂದ ಎಂಟು ಅಡಿ ವ್ಯಾಸವಿರುತ್ತದೆ. ಭದ್ರವಾಗಿ ನೆಲದಲ್ಲಿ ನಿಲ್ಲುವಂತೆ ತಳಭಾಗವು ಚಪ್ಪಟೆಯಾಗಿರುತ್ತವೆ ಮತ್ತು ಸುಮಾರು ಒಂದೂವರೆಯಿಂದ ಎರಡು ಅಡಿ ವ್ಯಾಸವಿರುತ್ತದೆ. ತಳವು ಕಡೆಮೆ ವ್ಯಾಸದ್ದಾಗಿರುವುದಕ್ಕೆ ಕಾರಣವೆಂದರೆ ಮಳೆಗಾಲದಲ್ಲಿ ಶೈತ್ಯವು ನೆಲದಿಂದ ವಾಡೇವಿಗೆ ಹೆಚ್ಚು ತಗುಲಿ ಒಳಗಿನ ಧಾನ್ಯಗಳು ಹಾಳಾಗಬಾರದು ಎಂಬುದು. ಮನೆಯ ಬೆಚ್ಚಗಿನ ಕೋಣೆಯ ಮೂಲೆಯಲ್ಲಿ ವಾಡೇವುಗಳನ್ನು ಇರಿಸುವುದು ರೂಢಿ. ಧಾನ್ಯಗಳನ್ನು ತುಂಬಿದ ಬಳಿಕ ಅವುಗಳ ತಳಭಾಗದ ಸುತ್ತ ಮಣ್ಣು+ಸೆಗಣಿಗಳ ಮಿಶ್ರಣವನ್ನು ಹಾಕಲಾಗುತ್ತದೆ. ಮೇಲ್ಭಾಗದಲ್ಲಿ ಕೂಡ ಮುಚ್ಚಳ ಹಾಕಿ ಮಣ್ಣು ಕಲಸಿ ಮೆತ್ತಿ ಭದ್ರಪಡಿಸಲಾಗುತ್ತದೆ. ವಾಡೇವುಗಳನ್ನು ಎರಡು ರೀತಿಯಲ್ಲಿ ತಯಾರಿಸುತ್ತಾರೆ. ೧. ಮಣ್ಣು, ಹಸಿ ಸೆಗಣಿ, ಬೈ ಹುಲ್ಲುಗಳನ್ನು ಮಿಶ್ರಮಾಡಿ ಕೊಳೆಹಾಕಿ ಅವನ್ನು ಅಂಟು ಬರಿಸಿ ಸ್ವಲ್ಪ ಸ್ವಲ್ಪವೇ ಮೆತ್ತಿ ಒಣಗಿಸಿ ತಯಾರಿಸುವುದು. ೨. ಕುಂಬಾರರು ಆವೆ ಮಣ್ಣಿನಿಂದ ತಯಾರಿಸಿ, ಸುಟ್ಟು ಸಿದ್ಧಮಾಡಿಕೊಡುವುದು. ದೊಡ್ಡವಾಡೇವುಗಳಿಗೆ ತಳದಿಂದ ಮೇಲೆ ಸುಮಾರು ಮೂರು ಇಂಚು ವ್ಯಾಸದ ರಂಧ್ರವಿರುತ್ತದೆ. ಪದೇ ಪದೇ ಮೇಲಿನ ಮುಚ್ಚಳವನ್ನು ತೆಗೆದು ಕಾಳುಗಳನ್ನು ತೆಗೆಯುವ ತೊಂದರೆಯನ್ನು ನಿವಾರಿಸುವುದು ಇದರ ಉದ್ದೇಶ. ಈ ರಂಧ್ರವನ್ನು ಬಟ್ಟೆ, ಬಟ್ಟೆಸುತ್ತಿದ ಗೆರಟೆ (ತೆಂಗಿನಕಾಯಿ ಚಿಪ್ಪು) ಇತ್ಯಾದಿಗಳಿಂದ ಮುಚ್ಚಲಾಗುತ್ತದೆ. ಬೇಕಾದಾಗ ಇದನ್ನು ತೆಗೆದು ಬೇಕಾದಷ್ಟು ಕಾಳುಗಳನ್ನು ಹೊರಗೆ ತೆಗೆದು ಮತ್ತೆ ರಂಧ್ರವನ್ನು ಮುಚ್ಚುತ್ತಾರೆ. ಇಲಿಗಳು ವಾಡೇವನ್ನು ಕಡಿದು ಕೊರೆಯಲಾರವು. ಹೊರಗಿನಿಂದ ಏಟುಬೀಳದಿದ್ದಲ್ಲಿ ವಾಡೇವುಗಳು ನೂರಾರು ವರ್ಷ ಬಾಳಿಕೆ ಬರುತ್ತವೆ. ಧವಸ ಧಾನ್ಯಗಳನ್ನು ಸಂಗ್ರಹಿಸಿ ಇಡುವುದರ ಹಿಂದೆ ಇದ್ದ ಉದ್ದೇಶಗಳು ಇಂದು ಪಲ್ಲಟಗೊಂಡಿರುವುದು ಮತ್ತು ವಾಡೇವುಗಳ ಗ್ರಾಮೀಣ ಸ್ವಭಾವದ ಕಾರಣಗಳಿಂದ ಇಂದು ವಾಡೇವುಗಳು ಅಪರೂಪವಾಗುತ್ತ್ತಿವೆ."
ವಿಭೂತಿ ಕರಡಿಗೆ/ ಭಸ್ಮದ ಕರಡಿಗೆ,"ವಿಭೂತಿಯನ್ನು ಇರಿಸಿಕೊಳ್ಳಲು ಬಳಸುವ ಸಾಧನ. ಜನಪದರಲ್ಲಿ ಅರಿಸಿನ ಕುಂಕುಮದಂತೆಯೇ ವಿಭೂತಿಗೂ ತುಂಬ ಧಾರ್ಮಿಕ ಮಹತ್ವವಿದೆ. ವಿಭೂತಿ ಕರಡಿಗೆಗಳು ಬೇರೆ ಬೇರೆ ವಿನ್ಯಾಸಗಳಲ್ಲಿ ರಚನೆಯಾಗಿವೆ. ಬಸವ, ಶಿವಲಿಂಗ ಹಾಗೂ ತೇರಿನಂಥ ವಿನ್ಯಾಸದ ಕರಡಿಗೆಯಲ್ಲಿ ಗಾಲಿಗಳು ಮತ್ತು ಗಡ್ಡೆ ಇರುತ್ತದೆ. ಗಡ್ಡೆಯ ಮೇಲ್ಭಾಗದಲ್ಲಿ ವಿಭೂತಿಯನ್ನು ಇರಿಸಿಕೊಳ್ಳಲು ಅನುಕೂಲವಾಗುವಂತೆ ಗಡ್ಡೆಯನ್ನು ಕೊರೆಯಲಾಗಿದೆ. ಇದಕ್ಕೆ ಮೇಲೆ ಮುಚ್ಚಳವೂ ಇದೆ. ಬಸವ, ಚರ್ತುಮುಖ ಬಸವ, ನವಿಲು, ಸಿರಿಪಾದ, ಶಿವಲಿಂಗ, ತೇರು, ದೇವಾಲಯ ಮುಂತಾದ ವಿನ್ಯಾಸಗಳಲ್ಲೂ ವಿಭೂತಿ ಕರಡಿಗೆಗಳಿವೆ. ಅಲಂಕಾರಿಕ ಕೆತ್ತನೆಗಳೂ ಇರುತ್ತವೆ. ಗಾಲಿಗಳುಳ್ಳ ವಿಭೂತಿ ಕರಡಿಗೆಗಳು ಸಾಮೂಹಿಕ ಭೋಜನದ ಸಂದರ್ಭಗಳಲ್ಲಿ ಬಳಕೆಯಾಗುತ್ತವೆ. ವಿಭೂತಿಯನ್ನು ಭೋಜನ ಆರಂಭವಾಗುವ ಮೊದಲು ಹಚ್ಚಿಕೊಳ್ಳುವುದು ರೂಢಿ. ದೈವಾಲಯ ದೇವಾಲಯಗಳಲ್ಲಿ ವಿಭೂತಿ ಕರಡಿಗೆಗಳನ್ನು ಗೂಟ/ಜಂತಿಗಳಿಗೆ ನೇತು ಹಾಕಲಾಗುತ್ತದೆ. ವಿಭೂತಿ ಕರಡಿಗೆಯನ್ನು ಹಲಸು, ಸಾಗುವಾನಿ ಮುಂತಾದ ಮರಗಳಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದೆ."
ವೈದ್ಯಕೀಯ,ಜನಪದರು ತಮ್ಮ ಮತ್ತು ತಮ್ಮ ಜಾನುವಾರುಗಳ ಆರೋಗ್ಯವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಲು ಪಾರಂಪರಿಕವಾಗಿ ಅನೇಕ ವಿಧಾನಗಳನ್ನು ಅನುಸರಿಸುತ್ತಾರೆ. ಶುಶ್ರೂಷೆ ಮಾಡಲು ಅಗತ್ಯವಾದ ಪರಿಕರಗಳನ್ನೂ ಸ್ವತಃ ನಿರ್ಮಿಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಅಂತಹ ಕೆಲವು ಪರಿಕರಗಳನ್ನು ಈ ವಿಭಾಗದಲ್ಲಿ ಪರಿಚಯಿಸುತ್ತಿದ್ದೇವೆ.
ವ್ಯಾಸಪೀಠ,"ಪ್ರವಚನ ಹಾಗೂ ಪೂಜೆಯ ಸಂದರ್ಭದಲ್ಲಿ ಗ್ರಂಥಗಳನ್ನು ಓದಲು ಬಳಸುವ ಮರದ ಸ್ಟ್ಯಾಂಡ್. ನೆಲದ ಮೇಲೆ ಮರದ ಹಲಗೆಯಿಂದ ಮಾಡಿದ ಮಣೆಯನ್ನು ಇಟ್ಟು ಕುಳಿತು ಕೃತಿಯನ್ನು ಓದಲು ಇದರ ಬಳಕೆ. ಕತ್ತರಿಯಾಕಾರದ ಈ ಸಲಕರಣೆಯ ಕೆಳಭಾಗವು ಕಾಲುಗಳಾಗಿಯೂ ಮೇಲುಭಾಗವು ಪುಸ್ತಕವನ್ನಿಟ್ಟುಕೊಳ್ಳಲು ಅನುಕೂಲವಾಗುವಂತೆಯೂ ಇದರ ರಚನೆ ಇದೆ. ಇದನ್ನು ಮಡಚಲು ಸಾಧ್ಯವಾಗುವಂತೆ ಬಡಗಿಯು ತನ್ನ ಜಾಣ್ಮೆಯಿಂದ ಒಂದೇ ಮರದ ತುಂಡನ್ನು ಸೀಳಿ, ರಂಧ್ರ,ಎಡೆಕೊರೆದು ಇದನ್ನು ರಚಿಸಿದ್ದಾನೆ. ಕುರ್ಚಿ, ಮೇಜುಗಳು ಬಳಕೆಗೆ ಬಂದ ಮೇಲೆ ಇಂಥ ವ್ಯಾಸಪೀಠಗಳನ್ನು ಕೇಳುವವರೆ ಇಲ್ಲ. ಹಿಂದಿನ ಕಾಲದವರು ಮಾತ್ರ ಅಪೂರ್ವವಾಗಿ ವ್ಯಾಸಪೀಠಗಳನ್ನು ಬಳಸುತ್ತಾರೆ. ವ್ಯಾಸಪೀಠಗಳ ಮೇಲೆ ಧಾರ್ಮಿಕ ಗ್ರಂಥಗಳನ್ನಷ್ಟೇ ಇಟ್ಟು ಓದುವುದು ಸಂಪ್ರದಾಯ."
ಶಂಖ,"ದೇವರ ಪೂಜೆಯಲ್ಲಿ ಬಳಕೆಯಾಗುವ ವಸ್ತು. ವಿಷ್ಣು ಭಕ್ತರಾದ ದಾಸರು ಇದನ್ನು ಹೆಚ್ಚು ಬಳಸುತ್ತಾರೆ. ದಾಸಪ್ಪನವರನ್ನು ಭಕ್ತರು ಮನೆಮನೆಗೆ ಕರೆದು ಪೂಜಿಸುವ ಸಂಪ್ರದಾಯವಿದ್ದು ಆ ಬಗೆಯ ಪೂಜಾ ಸಂದರ್ಭದಲ್ಲಿ ದಾಸಪ್ಪಗಳು ಶಂಖವನ್ನು ಊದುವ ಮೂಲಕ ಪೂಜೆ ಪೂರೈಸುತ್ತಾರೆ. ಹುಟ್ಟಿದಾಗ, ಸತ್ತಾಗ ಆಗುವ ಸೂತಕ ಕಳೆಯಲು ಶಂಖವು ದಾಸರಿಂದ ಪೂಜೆಯಲ್ಲಿ ಬಳಕೆಯಾಗುತ್ತದೆ. ಶಂಖವು ಯಾವುದೇ ಮನುಷ್ಯ ನಿರ್ಮಿತಿಯಲ್ಲ. ಪ್ರಕೃತಿ ಸಹಜವಾಗಿ ಸಮುದ್ರ ದಂಡೆಗಳಲ್ಲಿ ಸಿಗುತ್ತದೆ. ಶಂಖದ ಚಿಪ್ಪಿನ ರಕ್ಷಣಾ ಕವಚವನ್ನು ಹೊಂದಿರುವ ಸಾಗರ ಜೀವಿ. ಅದನ್ನು ಚಿಪ್ಪಿನಿಂದ ಹೊರತೆಗೆದು ಊದುವ ಪೂಜಾ ಪರಿಕರವಾಗಿ ಬಳಸುತ್ತಾರೆ. ಸಣ್ಣಗಾತ್ರದ ಶಂಖದಿಂದ ದೊಡ್ಡಗಾತ್ರದ ಶಂಖದವರೆಗೂ ಇರುತ್ತದೆ. ಶಂಖದ ಆಕಾರ, ಬಣ್ಣ, ಭಾರ ಇತ್ಯಾದಿಗಳ ಬಗೆಗೆ ಎಲ್ಲರಿಗೂ ತಿಳಿದಿದೆ. ಹೆಚ್ಚಿನ ಶಂಖಗಳು ಎಡಮುರಿಗಳಾಗಿರುತ್ತವೆ. ಬಲಮುರಿ ಶಂಖಕ್ಕೆ ವಿಶೇಷ ಪ್ರಾಧಾನ್ಯವಿದೆ."
ಶಸ್ತ್ರ,"ಮೈಲಾರಲಿಂಗನ ಭಕ್ತರಾದ ಗೊಗ್ಗಯ್ಯಗಳು/ಗೊರವಯ್ಯಗಳು, ವೀರಭದ್ರನ ಭಕ್ತರು ಹರಕೆ ತೀರಿಸಲು ಬಳಸುವ ಸಲಕರಣೆ. ಇದು ಸುಮಾರು ಎರಡು ಅಡಿ ಉದ್ದದ, ಚಿಕ್ಕ ಮೊಳೆಯಷ್ಟು ದಪ್ಪದ ಸಾಧನ. ಇದನ್ನು ಎಡಕೆನ್ನೆಯಿಂದ ಬಲಕೆನ್ನೆಯತ್ತ ಚುಚ್ಚಿ ಸುಮಾರು ಅರ್ಧದಷ್ಟನ್ನು ದಾಟಿಸುತ್ತಾರೆ. ಹಾಗೆ ಶಸ್ತ್ರವನ್ನು ಚುಚ್ಚಿಕೊಂಡು ಇವರು ಗಂಟೆಗಟ್ಟಲೆ ಇರುತ್ತಾರೆ. ಚುಚ್ಚಿದ ಶಸ್ತ್ರವನ್ನು ತೆಗೆಯುವಾಗ ಆಗುವ ಗಾಯಕ್ಕೆ ವಿಭೂತಿ ಬಂಢಾರವನ್ನು ಹಚ್ಚುವ ಕ್ರಮವಿದೆ. ಶಸ್ತ್ರವನ್ನು ತಾಮ್ರದಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಇದರ ತುದಿ ಚೂಪಾಗಿದ್ದು. ಬುಡವು ಮೊಳೆಯ ತಲೆಯಂತೆ ಚಪ್ಪಟೆಯಾಗಿರುತ್ತದೆ."
ಶಹನಾಯಿ/ಸುಂದರಿ,"ಕೊಳವೆಯಾಕಾರದಲ್ಲಿರುವ ಶಹನಾಯಿಯು ಊದುವ ವಾದ್ಯವಾಗಿದೆ(ಸುಷಿರ). ಇದರ ತುದಿಯು ಪುಟ್ಟ ಧ್ವನಿವರ್ಧಕದ ಬಾಯಿಯಾಕಾರದಲ್ಲಿದೆ. ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದ ಇರುವ ಶಹನಾಯಿಗೆ ಒಂದು ಇಂಚು ಅಂತರದಲ್ಲಿ ಏಳು, ಅಧಿಕ ಒಂದು ಮತ್ತು ಪಾರ್ಶ್ವದಲ್ಲಿ ಎರಡೆರಡು ಹೀಗೆ ಒಟ್ಟು ಹನ್ನೆರಡು ರಂಧ್ರಗಳಿರುತ್ತವೆ. ಊದುವ ತುದಿ ಸುಮಾರು ಅರ್ಧ ಇಂಚು ವ್ಯಾಸವಿದ್ದು ಮತ್ತೊಂದು ಕೊನೆಯು ಸುಮಾರು ಒಂದು ಇಂಚು ವ್ಯಾಸವಿದೆ. ಶಹನಾಯಿಯು ಉತ್ಕೃಷ್ಟ ಸಂಗೀತೋಪಕರಣವಾಗಿದ್ದು ಶ್ರೇಷ್ಟ ಮರದಿಂದಷ್ಟೇ ಅದನ್ನು ತಯಾರಿಸುತ್ತಾರೆ. ದೊಡ್ಡಾಟದಲ್ಲಿ ಬಳಕೆಯಾಗುವ ಮುಖವಿಣೆಯು ಶಹನಾಯಿಯ ಸೋದರವರ್ಗದ ವಾದ್ಯ. ಮುಖವೀಣೆಯ ಪಡುಗಕ್ಕೆ ಒಂದ್ರಿ ಎಂದು ಹೆಸರು."
